Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Mohammad Ashraful,Bangladesh,1.02%,1,1,0,0,0,0,4,4,50.00,4.00,0,0,0543,Away,53
Symonds A,Australia,1.38%,3,2,0,0,0,1,7,7,36.84,3.50,2,0,0543,Home,53
Mashrafe Mortaza,Bangladesh,0.51%,2,2,0,0,0,1,2,2,22.22,1.00,0,0,0543,Away,53
Williams B A,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0543,Home,53
Lee B,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0543,Home,53
Hogg G B,Australia,0.79%,3,1,1,0,0,0,4*,4,133.33,-,2,0,0543,Home,53
Gillespie J N,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0543,Home,53
Bichel A J,Australia,,3,0,0,0,0,0,-,0,-,-,1,0,0543,Home,53
Lehmann D S,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0543,Home,53
Symonds A,Australia,17.98%,3,2,1,0,1,1,103*,103,78.63,103.00,2,0,0607,Away,63
Cosgrove M J,Australia,12.91%,1,1,0,1,0,0,74,74,107.25,74.00,0,0,0607,Away,63
Hussey M E K,Australia,9.42%,3,2,1,0,0,0,36*,54,71.05,54.00,2,0,0607,Away,63
Gilchrist A C,Australia,18.85%,3,2,0,1,0,0,76,108,142.11,54.00,6,3,0607,Away,63
Habibul Bashar,Bangladesh,30.88%,3,3,0,2,0,0,70,155,60.31,51.67,1,0,0607,Home,63
Katich S M,Australia,15.01%,3,3,1,0,0,0,42*,86,64.66,43.00,1,0,0607,Away,63
Clarke M J,Australia,12.22%,3,2,0,1,0,0,54,70,50.36,35.00,2,0,0607,Away,63
Javed Omar,Bangladesh,6.77%,1,1,0,0,0,0,34,34,60.71,34.00,0,0,0607,Home,63
Khaled Mashud,Bangladesh,14.74%,3,3,0,0,0,0,36,74,58.27,24.67,0,0,0607,Home,63
Aftab Ahmed,Bangladesh,6.18%,2,2,0,0,0,0,30,31,58.49,15.50,0,0,0607,Home,63
Rajin Saleh,Bangladesh,8.76%,3,3,0,0,0,1,37,44,37.93,14.67,0,0,0607,Home,63
Tushar Imran,Bangladesh,4.38%,2,2,0,0,0,0,20,22,43.14,11.00,0,0,0607,Home,63
Hogg G B,Australia,1.92%,3,2,1,0,0,0,7,11,61.11,11.00,1,0,0607,Away,63
Ponting R T,Australia,3.32%,2,2,0,0,0,0,14,19,51.35,9.50,0,0,0607,Away,63
Mohammad Ashraful,Bangladesh,3.59%,2,2,0,0,0,0,13,18,32.73,9.00,0,0,0607,Home,63
Alok Kapali,Bangladesh,2.99%,2,2,0,0,0,0,10,15,60.00,7.50,1,0,0607,Home,63
Mashrafe Mortaza,Bangladesh,3.59%,3,3,0,0,0,0,15,18,60.00,6.00,0,0,0607,Home,63
Shahriar Nafees,Bangladesh,3.19%,3,3,0,0,0,2,16,16,66.67,5.33,1,0,0607,Home,63
