Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index 
Mashrafe Mortaza,Bangladesh,3.59%,3,3,0,0,0,0,15,18,60.00,6.00,0,0,0607,Home,6
Shahriar Nafees,Bangladesh,3.19%,3,3,0,0,0,2,16,16,66.67,5.33,1,0,0607,Home,6
Abdur Razzak,Bangladesh,1.20%,3,3,1,0,0,0,3,6,42.86,3.00,0,0,0607,Home,6
Mohammad Rafique,Bangladesh,1.59%,3,3,0,0,0,2,8,8,34.78,2.67,0,0,0607,Home,6
Syed Rasel,Bangladesh,,1,1,0,0,0,1,0*,0,0.00,0.00,1,0,0607,Home,6
Johnson M G,Australia,,3,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Dorey B R,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Cullen D J,Australia,,3,0,0,0,0,0,-,0,-,-,2,0,0607,Away,6
Hopes J R,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Shahadat Hossain,Bangladesh,0.60%,2,2,2,0,0,0,2*,3,50.00,-,0,0,0607,Home,6
Bracken N W,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0607,Away,6
Lee B,Australia,2.09%,2,1,1,0,0,0,12*,12,40.00,-,3,0,0607,Away,6
Hussey M E K,Australia,26.32%,3,3,2,2,0,0,85,150,83.80,150.00,2,0,0693,Home,6
Marsh S E,Australia,30.70%,3,3,1,2,0,0,76,175,78.83,87.50,0,0,0693,Home,6
White C L,Australia,5.44%,3,2,1,0,0,0,22*,31,88.57,31.00,3,0,0693,Home,6
Watson S R,Australia,9.82%,2,2,0,0,0,0,29,56,72.73,28.00,2,0,0693,Home,6
Tamim Iqbal,Bangladesh,26.58%,3,3,0,1,0,1,63,84,83.17,28.00,0,0,0693,Away,6
Hopes J R,Australia,3.86%,3,1,0,0,0,0,22,22,73.33,22.00,0,0,0693,Home,6
Mashrafe Mortaza,Bangladesh,6.65%,3,3,2,0,0,0,8*,21,46.67,21.00,1,0,0693,Away,6
Shakib Al Hasan,Bangladesh,16.77%,3,3,0,0,0,0,27,53,63.10,17.67,0,0,0693,Away,6
Hussey D J,Australia,6.14%,3,2,0,0,0,0,24,35,71.43,17.50,3,0,0693,Home,6
Raqibul Hasan,Bangladesh,4.43%,1,1,0,0,0,0,14,14,28.00,14.00,0,0,0693,Away,6
Clarke M J,Australia,7.02%,3,3,0,0,0,0,25,40,38.46,13.33,4,0,0693,Home,6
Dhiman Ghosh,Bangladesh,10.13%,3,3,0,0,0,0,30,32,66.67,10.67,1,1,0693,Away,6
Junaid Siddique,Bangladesh,6.65%,2,2,0,0,0,1,21,21,42.00,10.50,0,0,0693,Away,6
Haddin B J,Australia,3.33%,3,2,0,0,0,0,16,19,43.18,9.50,3,0,0693,Home,6
Abdur Razzak,Bangladesh,8.54%,3,3,0,0,0,0,14,27,38.03,9.00,0,0,0693,Away,6
Shahadat Hossain,Bangladesh,1.90%,3,2,1,0,0,1,6*,6,40.00,6.00,1,0,0693,Away,6
Alok Kapali,Bangladesh,4.43%,3,3,0,0,0,1,12,14,48.28,4.67,1,0,0693,Away,6
Mohammad Ashraful,Bangladesh,3.48%,3,3,0,0,0,0,5,11,34.38,3.67,0,0,0693,Away,6
Mahmudullah,Bangladesh,0.32%,1,1,0,0,0,0,1,1,16.67,1.00,0,0,0693,Away,6
Mehrab Hossain,Bangladesh,0.32%,2,2,0,0,0,1,1,1,5.56,0.50,1,0,0693,Away,6
Johnson M G,Australia,,3,1,0,0,0,1,0*,0,0.00,0.00,0,0,0693,Home,6
Farhad Reza,Bangladesh,,1,1,0,0,0,1,0*,0,0.00,0.00,0,0,0693,Away,6
Nazmul Hossain,Bangladesh,,2,2,0,0,0,2,0*,0,0.00,0.00,0,0,0693,Away,6
Bracken N W,Australia,,3,0,0,0,0,0,-,0,-,-,0,0,0693,Home,6
Clark S R,Australia,,3,0,0,0,0,0,-,0,-,-,2,0,0693,Home,6
Geeves B,Australia,,1,1,1,0,0,0,0*,0,-,-,1,0,0693,Home,6
Watson S R,Australia,34.07%,3,3,1,1,1,0,185*,294,175.00,147.00,5,0,0780,Away,7
Mahmudullah,Bangladesh,18.26%,3,3,2,1,0,0,68*,134,93.71,134.00,3,0,0780,Home,7
Mushfiqur Rahim,Bangladesh,17.17%,3,3,2,1,0,0,81*,126,88.73,126.00,0,0,0780,Home,7
Clarke M J,Australia,17.15%,3,2,0,0,1,0,101,148,85.55,74.00,0,0,0780,Away,7
Hussey M E K,Australia,16.34%,3,2,0,0,1,0,108,141,99.30,70.50,0,0,0780,Away,7
Johnson M G,Australia,7.76%,3,2,1,0,0,0,41,67,181.08,67.00,0,0,0780,Away,7
Ponting R T,Australia,13.67%,3,3,1,0,0,0,47,118,95.93,59.00,0,0,0780,Away,7
Shahriar Nafees,Bangladesh,15.80%,3,3,0,2,0,1,60,116,72.50,38.67,0,0,0780,Home,7
Imrul Kayes,Bangladesh,13.90%,3,3,0,1,0,0,93,102,69.86,34.00,2,0,0780,Home,7
Tamim Iqbal,Bangladesh,13.49%,3,3,0,1,0,0,62,99,87.61,33.00,0,0,0780,Home,7
Shakib Al Hasan,Bangladesh,9.40%,3,3,0,1,0,0,51,69,55.65,23.00,0,0,0780,Home,7
White C L,Australia,2.32%,1,1,0,0,0,0,20,20,40.00,20.00,0,0,0780,Away,7
Suhrawadi Shuvo,Bangladesh,2.59%,3,2,1,0,0,0,16,19,73.08,19.00,1,0,0780,Home,7
Alok Kapali,Bangladesh,1.77%,1,1,0,0,0,0,13,13,76.47,13.00,1,0,0780,Home,7
Haddin B J,Australia,2.09%,2,2,0,0,0,0,10,18,60.00,9.00,1,0,0780,Away,7
Paine T D,Australia,0.81%,1,1,0,0,0,0,7,7,87.50,7.00,1,0,0780,Away,7
Raqibul Hasan,Bangladesh,0.95%,2,2,0,0,0,1,7,7,28.00,3.50,0,0,0780,Home,7
Ferguson C J,Australia,0.35%,2,1,0,0,0,0,3,3,50.00,3.00,0,0,0780,Away,7
Smith S P D,Australia,0.70%,3,2,0,0,0,0,5,6,50.00,3.00,4,0,0780,Away,7
Shafiul Islam,Bangladesh,1.23%,3,1,1,0,0,0,9*,9,128.57,-,0,0,0780,Home,7
Hastings J W,Australia,2.43%,3,2,2,0,0,0,21*,21,233.33,-,0,0,0780,Away,7
Doherty X J,Australia,0.23%,3,1,1,0,0,0,2*,2,100.00,-,1,0,0780,Away,7
Pattinson J L,Australia,,1,0,0,0,0,0,-,0,-,-,1,0,0780,Away,7
Rubel Hossain,Bangladesh,,1,0,0,0,0,0,-,0,-,-,0,0,0780,Home,7
Mashrafe Mortaza,Bangladesh,,2,0,0,0,0,0,-,0,-,-,0,0,0780,Home,7
Lee B,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0780,Away,7
Abdur Razzak,Bangladesh,,3,0,0,0,0,0,-,0,-,-,0,0,0780,Home,7
Edrich J H,England,43.16%,1,1,0,1,0,0,82,82,68.91,82.00,0,0,0193,Away,0
Chappell I M,Australia,31.41%,1,1,0,1,0,0,60,60,58.25,60.00,0,0,0193,Home,0
Walters K D,Australia,21.47%,1,1,0,0,0,0,41,41,80.39,41.00,1,0,0193,Home,0
Lawry W M,Australia,14.14%,1,1,0,0,0,0,27,27,55.10,27.00,1,0,0193,Home,0
Fletcher K W R,England,12.63%,1,1,0,0,0,0,24,24,51.06,24.00,0,0,0193,Away,0
Knott A P E,England,12.63%,1,1,0,0,0,0,24,24,77.42,24.00,2,1,0193,Away,0
D'Oliveira B L,England,8.95%,1,1,0,0,0,0,17,17,106.25,17.00,0,0,0193,Away,0
Stackpole K R,Australia,6.81%,1,1,0,0,0,0,13,13,86.67,13.00,0,0,0193,Home,0
Redpath I R,Australia,6.28%,1,1,0,0,0,0,12,12,85.71,12.00,1,0,0193,Home,0
Hampshire J H,England,5.26%,1,1,0,0,0,0,10,10,76.92,10.00,0,0,0193,Away,0
Boycott G,England,4.21%,1,1,0,0,0,0,8,8,21.62,8.00,0,0,0193,Away,0
Shuttleworth K,England,3.68%,1,1,0,0,0,0,7,7,36.84,7.00,1,0,0193,Away,0
Snow J A,England,1.05%,1,1,0,0,0,0,2,2,12.50,2.00,0,0,0193,Away,0
Cowdrey M C,England,0.53%,1,1,0,0,0,0,1,1,20.00,1.00,0,0,0193,Away,0
Illingworth R,England,0.53%,1,1,0,0,0,0,1,1,14.29,1.00,0,0,0193,Away,0
Chappell G S,Australia,11.52%,1,1,1,0,0,0,22*,22,75.86,-,1,0,0193,Home,0
Connolly A N,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0193,Home,0
Lever P,England,2.11%,1,1,1,0,0,0,4*,4,66.67,-,0,0,0193,Away,0
Mallett A A,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0193,Home,0
Marsh R W,Australia,5.24%,1,1,1,0,0,0,10*,10,55.56,-,1,0,0193,Home,0
McKenzie G D,Australia,,1,0,0,0,0,0,-,0,-,-,1,0,0193,Home,0
Thomson A L,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0193,Home,0
Amiss D L,England,26.17%,3,3,0,0,1,0,103,168,65.12,56.00,0,0,0194,Home,0
Greig A W,England,8.57%,3,2,1,0,0,0,31,55,72.37,55.00,0,0,0194,Home,0
Stackpole K R,Australia,23.40%,3,3,0,2,0,0,61,150,54.35,50.00,1,0,0194,Away,0
Fletcher K W R,England,17.76%,3,3,0,1,0,0,60,114,58.16,38.00,0,0,0194,Home,0
Hampshire J H,England,5.92%,2,2,1,0,0,0,25*,38,52.05,38.00,0,0,0194,Home,0
Chappell G S,Australia,15.76%,3,3,0,0,0,0,48,101,60.84,33.67,0,0,0194,Away,0
Chappell I M,Australia,13.57%,3,3,0,1,0,0,53,87,62.14,29.00,1,0,0194,Away,0
Knott A P E,England,8.72%,3,2,0,1,0,0,50,56,87.50,28.00,3,0,0194,Home,0
Sheahan A P,Australia,11.70%,3,3,0,1,0,0,50,75,60.48,25.00,0,0,0194,Away,0
Boycott G,England,11.53%,3,3,0,0,0,0,41,74,54.41,24.67,0,0,0194,Home,0
Edwards R,Australia,10.76%,3,3,0,1,0,0,57,69,66.99,23.00,0,0,0194,Away,0
Wood B,England,2.96%,1,1,0,0,0,0,19,19,63.33,19.00,2,0,0194,Home,0
Close D B,England,7.63%,3,3,0,0,0,0,43,49,98.00,16.33,1,0,0194,Home,0
Mallett A A,Australia,2.18%,3,2,1,0,0,0,8,14,40.00,14.00,2,0,0194,Away,0
Lillee D K,Australia,2.03%,3,1,0,0,0,0,13,13,81.25,13.00,0,0,0194,Away,0
Watson G D,Australia,1.72%,2,2,1,0,0,1,11*,11,68.75,11.00,0,0,0194,Away,0
Walters K D,Australia,2.65%,2,2,0,0,0,0,15,17,65.38,8.50,0,0,0194,Away,0
Marsh R W,Australia,2.65%,3,3,1,0,0,1,11,17,53.13,8.50,5,1,0194,Away,0
D'Oliveira B L,England,2.02%,3,3,1,0,0,0,6,13,48.15,6.50,1,0,0194,Home,0
Woolmer R A,England,1.40%,3,2,0,0,0,1,9,9,75.00,4.50,1,0,0194,Home,0
Snow J A,England,0.78%,3,2,2,0,0,0,5*,5,45.45,-,0,0,0194,Home,0
Arnold G G,England,1.71%,3,1,1,0,0,0,11*,11,91.67,-,0,0,0194,Home,0
Colley D J,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0194,Away,0
Massie R A L,Australia,2.50%,3,1,1,0,0,0,16*,16,66.67,-,1,0,0194,Away,0
Hammond J R,Australia,2.34%,1,1,1,0,0,0,15*,15,53.57,-,0,0,0194,Away,0
Lloyd D,England,25.65%,1,1,0,0,0,0,49,49,51.58,49.00,0,0,0201,Away,0
Amiss D L,England,24.61%,1,1,0,0,0,0,47,47,87.04,47.00,0,0,0201,Away,0
Chappell G S,Australia,23.16%,1,1,0,0,0,0,44,44,88.00,44.00,0,0,0201,Home,0
Chappell I M,Australia,22.11%,1,1,0,0,0,0,42,42,85.71,42.00,0,0,0201,Home,0
Fletcher K W R,England,16.23%,1,1,0,0,0,0,31,31,64.58,31.00,1,0,0201,Away,0
Edwards R,Australia,10.53%,1,1,0,0,0,0,20,20,52.63,20.00,0,0,0201,Home,0
Walker M H N,Australia,10.53%,1,1,0,0,0,0,20,20,57.14,20.00,1,0,0201,Home,0
