Player,,Country,%Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,
Warner, D A,Australia,27.14%,2,4,0,0,2,0,123,251,63.22,62.75,3,0,
Handscomb, P S P,Australia,15.78%,2,4,1,1,0,0,82,146,58.40,48.67,4,0,
Tamim Iqbal,Bangladesh,18.03%,2,4,0,2,0,0,78,170,45.82,42.50,0,0,
Mushfiqur Rahim,Bangladesh,16.76%,2,4,0,1,0,0,68,158,36.49,39.50,5,1,
Maxwell, G J,Australia,10.81%,2,4,1,0,0,0,38,100,55.87,33.33,1,0,
Agar, A C,Australia,7.03%,2,3,1,0,0,0,41*,65,44.83,32.50,0,0,
Cummins, P J,Australia,6.70%,2,3,1,0,0,0,33*,62,40.52,31.00,2,0,
Mominul Haque,Bangladesh,6.36%,1,2,0,0,0,0,31,60,46.88,30.00,0,0,
Smith, S P D,Australia,12.86%,2,4,0,1,0,0,58,119,54.59,29.75,3,0,
Shakib Al Hasan,Bangladesh,12.20%,2,4,0,1,0,0,84,115,56.37,28.75,0,0,
Sabbir Rahman,Bangladesh,11.88%,2,4,0,1,0,1,66,112,53.59,28.00,0,0,
Mehidy Hasan Miraz,Bangladesh,7.32%,2,4,1,0,0,0,26,69,40.12,23.00,0,0,
Renshaw, M T,Australia,8.22%,2,4,0,0,0,0,45,76,47.20,19.00,1,0,
Nasir Hossain,Bangladesh,7.74%,2,4,0,0,0,1,45,73,40.56,18.25,0,0,
Cartwright, H W R,Australia,1.95%,1,1,0,0,0,0,18,18,64.29,18.00,0,0,
Soumya Sarkar,Bangladesh,6.89%,2,4,0,0,0,0,33,65,41.14,16.25,5,0,
Shafiul Islam,Bangladesh,2.33%,1,2,0,0,0,0,13,22,48.89,11.00,0,0,
Wade, M S,Australia,1.84%,2,3,0,0,0,0,8,17,32.08,5.67,7,3,
Taijul Islam,Bangladesh,2.23%,2,4,0,0,0,0,9,21,27.63,5.25,2,0,
Imrul Kayes,Bangladesh,2.23%,2,4,0,0,0,1,15,21,30.00,5.25,3,0,
Lyon, N M,Australia,1.30%,2,3,0,0,0,2,12,12,34.29,4.00,0,0,
Hazlewood, J R,Australia,0.54%,1,2,0,0,0,1,5,5,20.00,2.50,1,0,
Khawaja, U T,Australia,0.22%,1,2,0,0,0,0,1,2,25.00,1.00,2,0,
Mustafizur Rahman,Bangladesh,,2,4,3,0,0,1,0*,0,0.00,0.00,0,0,
O'Keefe, S N J,Australia,0.86%,1,1,1,0,0,0,8*,8,23.53,-,0,0,
Lyon, N M,Australia,2,133.5,34,315,22,7/94,3,1,14.32,36.50,2.35,
Shakib Al Hasan,Bangladesh,2,90.5,18,270,12,5/68,2,1,22.50,45.42,2.97,
Agar, A C,Australia,2,61.4,14,162,7,3/46,0,0,23.14,52.86,2.63,
Mustafizur Rahman,Bangladesh,2,34.5,6,121,5,4/84,0,0,24.20,41.80,3.47,
Cummins, P J,Australia,2,63.0,12,174,6,3/63,0,0,29.00,63.00,2.76,
Mehidy Hasan Miraz,Bangladesh,2,83.0,15,235,8,3/62,0,0,29.38,62.25,2.83,
Taijul Islam,Bangladesh,2,52.5,4,196,6,3/60,0,0,32.67,52.83,3.71,
Maxwell, G J,Australia,2,14.0,0,52,1,1/15,0,0,52.00,84.00,3.71,
O'Keefe, S N J,Australia,1,45.2,6,128,2,2/49,0,0,64.00,136.00,2.82,
Khawaja, U T,Australia,1,1.0,0,1,0,0/0,0,0,,,1.00,
Nasir Hossain,Bangladesh,2,10.3,4,29,0,0/2,0,0,,,2.76,
Shafiul Islam,Bangladesh,1,6.0,0,21,0,0/0,0,0,,,3.50,
Hazlewood, J R,Australia,1,19.1,7,42,0,0/3,0,0,,,2.19,
Mominul Haque,Bangladesh,1,2.0,0,6,0,0/0,0,0,,,3.00,
Sabbir Rahman,Bangladesh,2,1.0,0,9,0,0/0,0,0,,,9.00,
Cartwright, H W R,Australia,1,5.0,1,16,0,0/0,0,0,,,3.20,
