Count of  H/A,Column Labels,,
Row Labels,Away,Home,Grand Total
606,11,12,23
607,14,14,28
608,16,17,33
609,15,17,32
610,40,,40
612,14,15,29
615,16,16,32
621,14,13,27
622,46,,46
623,14,16,30
624,52,,52
625,89,15,104
627,17,14,31
629,16,14,30
630,14,16,30
632,14,15,29
633,34,17,51
635,14,17,31
637,15,15,30
638,15,14,29
639,14,14,28
640,13,14,27
641,25,13,38
642,207,16,223
643,12,12,24
644,15,16,31
648,14,14,28
649,11,13,24
653,40,11,51
654,14,14,28
657,14,15,29
658,14,13,27
659,13,16,29
660,12,13,25
661,13,15,28
664,16,15,31
665,13,14,27
666,13,11,24
667,13,12,25
668,12,12,24
669,15,15,30
670,14,21,35
671,29,14,43
672,13,15,28
673,13,14,27
675,14,17,31
676,13,16,29
677,24,12,36
678,14,14,28
679,67,16,83
680,14,16,30
682,27,11,38
687,14,15,29
689,25,13,38
691,15,12,27
693,14,12,26
694,12,12,24
697,11,12,23
698,12,13,25
699,13,14,27
700,15,14,29
701,14,15,29
702,23,13,36
703,15,15,30
704,13,12,25
705,12,13,25
707,16,13,29
708,13,15,28
709,13,16,29
710,12,14,26
712,13,14,27
713,15,14,29
714,13,11,24
715,13,12,25
719,13,14,27
720,16,16,32
721,14,15,29
727,14,16,30
728,25,12,37
729,95,12,107
731,17,13,30
732,15,13,28
733,13,12,25
734,13,14,27
735,13,14,27
736,18,15,33
737,30,12,42
738,16,15,31
739,13,12,25
740,13,16,29
743,16,15,31
744,14,13,27
745,13,16,29
746,14,16,30
749,15,16,31
750,30,13,43
752,43,15,58
755,15,11,26
757,14,14,28
761,28,15,43
765,12,13,25
767,15,14,29
769,14,13,27
770,11,11,22
771,16,17,33
772,13,16,29
773,15,17,32
774,14,13,27
775,14,14,28
776,19,19,38
777,14,15,29
778,13,14,27
779,163,44,207
780,14,13,27
781,14,14,28
783,15,16,31
785,14,12,26
786,22,11,33
787,14,16,30
788,15,14,29
790,14,15,29
791,14,13,27
792,15,15,30
793,14,13,27
794,13,11,24
795,15,15,30
796,14,15,29
797,15,16,31
798,14,14,28
799,16,15,31
800,14,14,28
801,31,17,48
803,15,16,31
804,15,15,30
805,39,12,51
806,13,12,25
807,14,13,27
808,13,11,24
810,15,14,29
811,17,14,31
812,15,16,31
813,13,15,28
815,11,13,24
816,14,14,28
817,14,15,29
818,12,14,26
819,14,18,32
820,13,13,26
821,12,15,27
822,15,17,32
823,11,14,25
824,14,13,27
825,14,15,29
826,14,11,25
827,12,14,26
830,13,15,28
832,89,13,102
833,30,15,45
834,13,13,26
835,16,17,33
836,14,15,29
837,12,13,25
840,14,13,27
841,12,14,26
842,16,13,29
843,16,14,30
844,13,12,25
845,13,12,25
846,15,15,30
847,14,14,28
848,16,14,30
849,16,13,29
850,13,17,30
851,14,15,29
853,16,14,30
855,55,17,72
856,13,13,26
860,16,12,28
861,13,14,27
862,12,12,24
864,14,16,30
865,13,12,25
866,13,13,26
867,28,16,44
868,14,15,29
870,14,15,29
871,12,13,25
872,14,14,28
873,19,18,37
875,15,17,32
876,14,17,31
877,15,17,32
879,15,16,31
881,17,16,33
882,28,18,46
883,14,17,31
884,11,14,25
885,177,28,205
886,14,12,26
888,16,13,29
889,14,14,28
890,15,12,27
891,13,15,28
892,12,12,24
893,12,16,28
894,13,13,26
895,14,13,27
897,16,15,31
898,13,13,26
900,15,14,29
902,14,13,27
903,12,12,24
904,11,15,26
907,15,15,30
908,15,15,30
909,14,13,27
910,14,13,27
911,13,14,27
912,31,12,43
913,12,17,29
915,13,13,26
919,16,19,35
920,16,15,31
925,13,12,25
926,13,16,29
927,13,12,25
928,15,13,28
930,26,17,43
931,13,12,25
932,14,13,27
933,14,15,29
934,14,13,27
936,15,14,29
937,12,12,24
939,14,15,29
941,12,12,24
943,11,15,26
945,12,12,24
947,30,14,44
948,15,16,31
949,90,13,103
952,14,14,28
953,14,16,30
954,15,18,33
956,15,14,29
957,15,15,30
958,16,14,30
959,14,15,29
960,11,12,23
963,12,12,24
964,15,14,29
965,16,13,29
967,14,16,30
968,27,15,42
969,13,17,30
971,13,13,26
Grand Total,14037,8724,22761
