Bradman D G,101.23874065853317
Weekes E D C,62.59387454006006
Walcott C L,60.53100389714477
Sutcliffe H,60.27603791155031
Hutton L,59.6944997414219
Hammond W R,58.24190196387068
Hobbs J B,58.23854627134505
Sobers G S A,57.82277728325969
Barrington K F,56.531396902729036
Nourse A D,55.965221999974446
Smith S P D,54.548593880061844
Compton D C S,53.15140334975746
Javed Miandad,52.68983346394979
Chappell G S,52.623483023631096
Worrell F M M,52.09306008011934
Lara B C,51.30554587855926
Harvey R N,50.988337339882015
Waugh S R,50.93568517392522
Flower A,50.894263299679366
Hazare V S,50.883905467123824
Kallis J H,50.86926493340105
Border A R,50.798571375632605
Sangakkara K C,50.62918083144018
Tendulkar S R,50.565766645812104
Gavaskar S M,50.354883317182654
Richards I V A,50.07903908567881
Mitchell B,49.65688373493321
Morris A R,49.639541806965696
May P B H,49.59909907772648
Hassett A L,49.491120486546606
Mohammad Yousuf,48.807399413576
Dravid R,48.74665419289015
Jones D M,48.107546618767415
Ponsford W H,47.86414246893141
McCabe S J,47.84752215059804
Ponting R T,47.78106539388557
Kohli V,47.504885049341894
Hendren E H,47.41260445579025
Chanderpaul S,47.36533556767746
Kanhai R B,47.18459818709517
Inzamam-ul-Haq,47.120554006227486
Younis Khan,46.9340421017666
Root J E,46.816977644310015
Dexter E R,46.59051878561218
Walters K D,46.35393561189102
Hayden M L,46.20799257920818
Azharuddin M,46.139094114840475
Crowe M D,46.134988842131776
Boycott G,46.01908133101904
O'Neill N C,45.85182897156136
Shoaib Mohammad,45.79390053272762
Leyland M,45.71980482643388
Washbrook C,45.69910925322484
Woodfull W M,45.65364013059245
Nurse S M,45.56507329242534
Lloyd C H,45.46759847367947
Hussey M E K,45.44106242269678
Rowan E A B,45.410803511846176
Richardson R B,45.317930685666894
Jones A H,45.29062480193675
Hunte C C,45.17995727200072
Simpson R B,45.11911590597872
Amiss D L,45.099970299175546
Stollmeyer J B,45.00784774775041
de Villiers A B,44.91922917684168
Pujara C A,44.918454931321826
Graveney T W,44.81915329378379
Greenidge C G,44.8051446040416
Hanif Mohammad,44.796807066265664
Williamson K S,44.731433528281244
Saleem Malik,44.70929269785583
Smith R A,44.645004389807944
Jayawardene D P M D,44.58121678041258
Boon D C,44.54967727428131
Lawry W M,44.52918254217738
Gower D I,44.401732157463854
Gilchrist A C,44.36130550741104
Cowper R M,44.23431418416499
Taylor M A,44.228985500612694
Kirsten G,44.21379615693228
Sehwag V,44.20484076508623
Cullinan D J,44.175284791584694
Taylor H W,44.151568454840174
Hardstaff J,44.106869315390156
Umrigar P R,44.08079087348201
McGlew D J,44.01520450863768
Cowdrey M C,43.98706051363511
Pullar G,43.949796386964856
Zaheer Abbas,43.92011942412195
Samaraweera T T,43.89661452468876
Saeed Anwar,43.85071239833602
Clarke M J,43.77631032172025
Smith G C,43.63475343990761
Thorpe G P,43.50680104005579
Kallicharran A I,43.322575798282585
Macartney C G,43.31527595742152
Martyn D R,43.30990379202392
Hill C,43.30933457744709
Langer J L,43.30017225232087
Turner G M,43.28644977259242
de Silva P A,43.24251246531747
Barlow E J,43.19981930610737
Gooch G A,43.10075550003537
Slater M J,42.973272971089926
Warner D A,42.85228021356494
Sidhu N S,42.80518329874701
Haynes D L,42.712053400327775
Rowe L G,42.463470678777874
Amla H M,42.37632019967529
Edrich W J,42.33355317995444
Vengsarkar D B,42.16053728428526
Amarnath M,42.1523553844491
Sutcliffe B,42.110938908526144
Tillakaratne H P,42.09739353610829
Laxman V V S,42.03600235045046
Richardson M H,41.979417813764364
McDonald C C,41.84790935009277
Butcher B F,41.82670412348777
Matthews G R J,41.77707972635924
Waugh M E,41.72389432404754
Taylor L R P L,41.72023162864454
Pietersen K P,41.69036593645313
Mominul Haque,41.63116790341889
Redpath I R,41.62506231261203
Adams J C,41.60905571015221
Edrich J H,41.581080903188365
Azhar Ali,41.38191243987351
Misbah-ul-Haq,41.31440766814017
Fredericks R C,41.26943102064897
Trumper V T,41.19757130143625
Hayward T W,41.1797774435989
Viswanath G R,40.90271984225876
Katich S M,40.86430053556285
Broad B C,40.82873996733826
Wessels K C,40.824952446104234
Chappell I M,40.81986916282128
Saeed Ahmed,40.73946560061394
Trescothick M E,40.597711459953715
MacLaren A C,40.416713873657635
Cook A N,40.33578663462856
Yallop G N,40.294051770171514
Ames L E G,40.261217419515226
Booth B C,39.865152354787085
Manjrekar V L,39.84938576319693
McMillan B M,39.70568591078391
Ganguly S C,39.5680422070354
Armstrong W W,39.55486199611369
Gurusinha A P,39.51689539584055
Miller K R,39.48261433109378
Greig A W,39.426419894980945
Stewart A J,39.371917354231734
Mathews A D,39.26396276456943
Gomes H A,39.2303153442059
Gibbs H H,39.17286378844734
Richardson P E,39.03085066506529
Chandimal L D,38.923318470493406
Trott I J L,38.857262201115255
Rahane A M,38.85329240285264
Fletcher K W R,38.77979172273586
Parfitt P H,38.714221476427554
Denness M H,38.65583656924973
McCosker R B,38.57114187002934
du Plessis F,38.4325219277912
Jayasuriya S T,38.328001834971026
Fleming S P,38.31007194602708
Bardsley W,38.288348387191355
Wright J G,38.24823341892597
D'Oliveira B L,38.19315542349827
Mushtaq Mohammad,38.171780864264775
Manjrekar S V,38.14572884971059
Vaughan M P,38.13094995919819
Rogers C J L,38.060997733937235
Gayle C H,38.0116116503916
Atherton M A,38.005948049516164
Elgar D,37.90472783336533
Dhawan S,37.90164547430944
Mudassar Nazar,37.89005361425288
Majid Khan,37.86793684583547
Bell I R,37.77679308859733
Catterall R H,37.6412568415012
Asif Iqbal,37.596139067877886
