Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code,Decade_Index 
Mushfiqur Rahim,Bangladesh,16.76%,2,4,0,1,0,0,68,158,36.49,39.50,5,1,072413
Maxwell G J,Australia,10.81%,2,4,1,0,0,0,38,100,55.87,33.33,1,0,072413
Agar A C,Australia,7.03%,2,3,1,0,0,0,41*,65,44.83,32.50,0,0,072413
Cummins P J,Australia,6.70%,2,3,1,0,0,0,33*,62,40.52,31.00,2,0,072413
Mominul Haque,Bangladesh,6.36%,1,2,0,0,0,0,31,60,46.88,30.00,0,0,072413
Smith S P D,Australia,12.86%,2,4,0,1,0,0,58,119,54.59,29.75,3,0,072413
Shakib Al Hasan,Bangladesh,12.20%,2,4,0,1,0,0,84,115,56.37,28.75,0,0,072413
Sabbir Rahman,Bangladesh,11.88%,2,4,0,1,0,1,66,112,53.59,28.00,0,0,072413
Mehidy Hasan Miraz,Bangladesh,7.32%,2,4,1,0,0,0,26,69,40.12,23.00,0,0,072413
Renshaw M T,Australia,8.22%,2,4,0,0,0,0,45,76,47.20,19.00,1,0,072413
Nasir Hossain,Bangladesh,7.74%,2,4,0,0,0,1,45,73,40.56,18.25,0,0,072413
Cartwright H W R,Australia,1.95%,1,1,0,0,0,0,18,18,64.29,18.00,0,0,072413
Soumya Sarkar,Bangladesh,6.89%,2,4,0,0,0,0,33,65,41.14,16.25,5,0,072413
Shafiul Islam,Bangladesh,2.33%,1,2,0,0,0,0,13,22,48.89,11.00,0,0,072413
Wade M S,Australia,1.84%,2,3,0,0,0,0,8,17,32.08,5.67,7,3,072413
Taijul Islam,Bangladesh,2.23%,2,4,0,0,0,0,9,21,27.63,5.25,2,0,072413
Imrul Kayes,Bangladesh,2.23%,2,4,0,0,0,1,15,21,30.00,5.25,3,0,072413
Lyon N M,Australia,1.30%,2,3,0,0,0,2,12,12,34.29,4.00,0,0,072413
Hazlewood J R,Australia,0.54%,1,2,0,0,0,1,5,5,20.00,2.50,1,0,072413
Khawaja U T,Australia,0.22%,1,2,0,0,0,0,1,2,25.00,1.00,2,0,072413
Mustafizur Rahman,Bangladesh,,2,4,3,0,0,1,0*,0,0.00,0.00,0,0,072413
O'Keefe S N J,Australia,0.86%,1,1,1,0,0,0,8*,8,23.53,-,0,0,072413
