Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code,Decade_Index ,
McGrath G D,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,492,Home,10
Waugh S R,Australia,26.58%,2,2,2,0,2,0,156*,256,60.38,-,0,0,492,Home,10
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code,Decade_Index ,
Gillespie J N,Australia,19.97%,2,3,2,0,1,0,201*,231,43.5,231,2,0,547,Away,11
Ponting R T,Australia,16.51%,2,3,1,1,1,0,118*,191,50.4,95.5,2,0,547,Away,11
Hussey M E K,Australia,20.92%,2,3,0,0,1,0,182,242,69.74,80.67,0,0,547,Away,11
Gilchrist A C,Australia,13.48%,2,2,0,0,1,0,144,156,67.83,78,5,1,547,Away,11
Jaques P A,Australia,5.70%,1,1,0,1,0,0,66,66,67.35,66,1,0,547,Away,11
Shahriar Nafees,Bangladesh,23.23%,2,4,0,1,1,1,138,250,60.98,62.5,1,0,547,Home,11
Rajin Saleh,Bangladesh,16.36%,2,4,0,2,0,0,71,176,38.1,44,0,0,547,Home,11
Hayden M L,Australia,9.25%,2,3,0,1,0,0,72,107,48.64,35.67,6,0,547,Away,11
Habibul Bashar,Bangladesh,13.10%,2,4,0,1,0,0,76,141,65.28,35.25,0,0,547,Home,11
Mohammad Rafique,Bangladesh,9.67%,2,4,0,1,0,0,65,104,94.55,26,0,0,547,Home,11
Clarke M J,Australia,4.41%,2,3,1,0,0,0,23*,51,46.79,25.5,0,0,547,Away,11
Lee B,Australia,3.80%,2,2,0,0,0,0,29,44,35.48,22,3,0,547,Away,11
Khaled Mashud,Bangladesh,5.76%,2,4,1,0,0,1,34*,62,29.81,20.67,3,0,547,Home,11
Aftab Ahmed,Bangladesh,7.62%,2,4,0,0,0,0,29,82,42.27,20.5,0,0,547,Home,11
Mohammad Ashraful,Bangladesh,6.32%,2,4,0,0,0,0,29,68,68,17,0,0,547,Home,11
Javed Omar,Bangladesh,6.13%,2,4,0,0,0,0,27,66,64.71,16.5,0,0,547,Home,11
Abdur Razzak,Bangladesh,1.39%,1,2,0,0,0,1,15,15,57.69,7.5,0,0,547,Home,11
Shahadat Hossain,Bangladesh,0.65%,2,4,3,0,0,1,3*,7,15.56,7,2,0,547,Home,11
Martyn D R,Australia,0.95%,1,2,0,0,0,0,7,11,36.67,5.5,0,0,547,Away,11
Warne S K,Australia,0.95%,2,2,0,0,0,0,6,11,25.58,5.5,1,0,547,Away,11
Mashrafe Mortaza,Bangladesh,1.02%,2,4,0,0,0,1,6,11,29.73,2.75,0,0,547,Home,11
Enamul Haque,Bangladesh,,1,2,0,0,0,2,0*,0,0,0,0,0,547,Home,11
Clark S R,Australia,,1,1,0,0,0,1,0*,0,0,0,0,0,547,Away,11
Cullen D J,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,547,Away,11
MacGill S C G,Australia,,2,1,1,0,0,0,0*,0,0,-,0,0,547,Away,11
Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code,Decade_Index ,
Warner D A,Australia,27.14%,2,4,0,0,2,0,123,251,63.22,62.75,3,0,724,Away,13
Handscomb P S P,Australia,15.78%,2,4,1,1,0,0,82,146,58.4,48.67,4,0,724,Away,13
Tamim Iqbal,Bangladesh,18.03%,2,4,0,2,0,0,78,170,45.82,42.5,0,0,724,Home,13
Mushfiqur Rahim,Bangladesh,16.76%,2,4,0,1,0,0,68,158,36.49,39.5,5,1,724,Home,13
Maxwell G J,Australia,10.81%,2,4,1,0,0,0,38,100,55.87,33.33,1,0,724,Away,13
Agar A C,Australia,7.03%,2,3,1,0,0,0,41*,65,44.83,32.5,0,0,724,Away,13
Cummins P J,Australia,6.70%,2,3,1,0,0,0,33*,62,40.52,31,2,0,724,Away,13
Mominul Haque,Bangladesh,6.36%,1,2,0,0,0,0,31,60,46.88,30,0,0,724,Home,13
Smith S P D,Australia,12.86%,2,4,0,1,0,0,58,119,54.59,29.75,3,0,724,Away,13
Shakib Al Hasan,Bangladesh,12.20%,2,4,0,1,0,0,84,115,56.37,28.75,0,0,724,Home,13
Sabbir Rahman,Bangladesh,11.88%,2,4,0,1,0,1,66,112,53.59,28,0,0,724,Home,13
Mehidy Hasan Miraz,Bangladesh,7.32%,2,4,1,0,0,0,26,69,40.12,23,0,0,724,Home,13
Renshaw M T,Australia,8.22%,2,4,0,0,0,0,45,76,47.2,19,1,0,724,Away,13
Nasir Hossain,Bangladesh,7.74%,2,4,0,0,0,1,45,73,40.56,18.25,0,0,724,Home,13
Cartwright H W R,Australia,1.95%,1,1,0,0,0,0,18,18,64.29,18,0,0,724,Away,13
Soumya Sarkar,Bangladesh,6.89%,2,4,0,0,0,0,33,65,41.14,16.25,5,0,724,Home,13
Shafiul Islam,Bangladesh,2.33%,1,2,0,0,0,0,13,22,48.89,11,0,0,724,Home,13
Wade M S,Australia,1.84%,2,3,0,0,0,0,8,17,32.08,5.67,7,3,724,Away,13
Taijul Islam,Bangladesh,2.23%,2,4,0,0,0,0,9,21,27.63,5.25,2,0,724,Home,13
Imrul Kayes,Bangladesh,2.23%,2,4,0,0,0,1,15,21,30,5.25,3,0,724,Home,13
Lyon N M,Australia,1.30%,2,3,0,0,0,2,12,12,34.29,4,0,0,724,Away,13
Hazlewood J R,Australia,0.54%,1,2,0,0,0,1,5,5,20,2.5,1,0,724,Away,13
Khawaja U T,Australia,0.22%,1,2,0,0,0,0,1,2,25,1,2,0,724,Away,13
Mustafizur Rahman,Bangladesh,,2,4,3,0,0,1,0*,0,0,0,0,0,724,Home,13
O'Keefe S N J,Australia,0.86%,1,1,1,0,0,0,8*,8,23.53,-,0,0,724,Away,13
